This is the progress list of Cosmos | Updated on: 2019-04-28


ARTIFICIAL INTELLIGENCE                                                        Ada                           BrainFuck                                   C                                 C++                             Clojure                               Crisp                              Elixir                                 Elm                              Erlang                             Fortran                              Golang                                HTML                             Haskell                                Java                          JavaScript                               Julia                    Jupyter Notebook                              Kotlin                                 Lua                                  ML                                 Nim                         Objective-C                                 PHP                                Perl  Processing Development Environment                          PureScript                              Python                              Racket                              Reason                                Ruby                                Rust                               Scala                        Shell Script                         Standard ML                               Swift                          TypeScript                        Visual Basic                           Visual C#                           Visual F#  
avl tree                                                                         .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .  
b tree                                                                           .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .  
b tree c                                                                         .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
bag                                                                              .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
balanced expression                                                              .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
binary heap                                                                      .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
binomial heap                                                                    .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
bloom filter                                                                     .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   x                                   .                                   .                                   .                                   .  
bottom view binary tree                                                          .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
c                                                                                .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
circular buffer                                                                  .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
circular linked list                                                             .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
convert to doubly linked list                                                    .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
cpp                                                                              .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
delete                                                                           .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
detect cycle                                                                     .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
diameter                                                                         .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
double ended queue                                                               .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
doubly linked list                                                               .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .  
fenwick tree                                                                     .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
find                                                                             .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
from inorder and postorder                                                       .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
from inorder and preorder                                                        .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
hash table                                                                       .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   x                                   .                                   .                                   x                                   .  
infix to postfix                                                                 .                                   .                                   x                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
insertion                                                                        .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
interval tree                                                                    .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
is balance                                                                       .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
is binary tree                                                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
is same                                                                          .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
kd tree                                                                          .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   x                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .                                   .  
